main.py
Gx=2.03 °/s 	Gy=0.08 °/s 	Gz=0.11 °/s 	Ax=1.01 g 	Ay=0.09 g 	Az=0.03 g
Gx=2.05 °/s 	Gy=0.05 °/s 	Gz=0.08 °/s 	Ax=1.01 g 	Ay=0.09 g 	Az=0.03 g
Gx=2.03 °/s 	Gy=0.09 °/s 	Gz=0.09 °/s 	Ax=1.01 g 	Ay=0.08 g 	Az=0.03 g
Gx=2.08 °/s 	Gy=0.09 °/s 	Gz=0.11 °/s 	Ax=1.00 g 	Ay=0.09 g 	Az=0.03 g
Gx=2.02 °/s 	Gy=0.05 °/s 	Gz=0.11 °/s 	Ax=1.01 g 	Ay=0.08 g 	Az=0.02 g
Gx=2.00 °/s 	Gy=0.11 °/s 	Gz=0.11 °/s 	Ax=1.01 g 	Ay=0.09 g 	Az=0.03 g
Gx=2.04 °/s 	Gy=0.09 °/s 	Gz=0.14 °/s 	Ax=1.01 g 	Ay=0.10 g 	Az=0.02 g
Gx=2.01 °/s 	Gy=0.05 °/s 	Gz=0.09 °/s 	Ax=1.00 g 	Ay=0.10 g 	Az=0.02 g
Gx=2.03 °/s 	Gy=0.09 °/s 	Gz=0.10 °/s 	Ax=1.01 g 	Ay=0.09 g 	Az=0.02 g
Gx=2.03 °/s 	Gy=0.03 °/s 	Gz=0.13 °/s 	Ax=1.01 g 	Ay=0.10 g 	Az=0.02 g
Gx=1.99 °/s 	Gy=0.08 °/s 	Gz=0.13 °/s 	Ax=1.01 g 	Ay=0.10 g 	Az=0.04 g
Gx=2.00 °/s 	Gy=0.05 °/s 	Gz=0.15 °/s 	Ax=1.00 g 	Ay=0.10 g 	Az=0.02 g
Gx=2.02 °/s 	Gy=0.06 °/s 	Gz=0.15 °/s 	Ax=1.01 g 	Ay=0.09 g 	Az=0.03 g
Gx=2.07 °/s 	Gy=0.05 °/s 	Gz=0.11 °/s 	Ax=1.01 g 	Ay=0.08 g 	Az=0.04 g
Gx=2.05 °/s 	Gy=0.11 °/s 	Gz=0.14 °/s 	Ax=1.01 g 	Ay=0.10 g 	Az=0.05 g
Gx=2.02 °/s 	Gy=0.02 °/s 	Gz=0.13 °/s 	Ax=1.00 g 	Ay=0.09 g 	Az=0.02 g
Gx=2.02 °/s 	Gy=0.08 °/s 	Gz=0.14 °/s 	Ax=1.01 g 	Ay=0.10 g 	Az=0.03 g
Gx=2.04 °/s 	Gy=0.08 °/s 	Gz=0.15 °/s 	Ax=1.01 g 	Ay=0.11 g 	Az=0.03 g
Gx=2.02 °/s 	Gy=0.02 °/s 	Gz=0.15 °/s 	Ax=1.00 g 	Ay=0.09 g 	Az=0.02 g
Gx=2.03 °/s 	Gy=0.10 °/s 	Gz=0.11 °/s 	Ax=1.01 g 	Ay=0.09 g 	Az=0.03 g
Gx=2.04 °/s 	Gy=0.06 °/s 	Gz=0.14 °/s 	Ax=1.01 g 	Ay=0.10 g 	Az=0.03 g
Gx=2.03 °/s 	Gy=0.06 °/s 	Gz=0.12 °/s 	Ax=1.01 g 	Ay=0.10 g 	Az=0.01 g
Gx=2.05 °/s 	Gy=0.09 °/s 	Gz=0.11 °/s 	Ax=1.01 g 	Ay=0.10 g 	Az=0.03 g
Gx=2.03 °/s 	Gy=0.00 °/s 	Gz=0.11 °/s 	Ax=1.01 g 	Ay=0.09 g 	Az=0.03 g
Gx=2.03 °/s 	Gy=0.10 °/s 	Gz=0.10 °/s 	Ax=1.01 g 	Ay=0.10 g 	Az=0.03 g
Gx=2.05 °/s 	Gy=0.02 °/s 	Gz=0.08 °/s 	Ax=1.00 g 	Ay=0.10 g 	Az=0.03 g
Gx=2.02 °/s 	Gy=0.04 °/s 	Gz=0.10 °/s 	Ax=1.01 g 	Ay=0.10 g 	Az=0.02 g
Gx=2.00 °/s 	Gy=0.12 °/s 	Gz=0.08 °/s 	Ax=1.01 g 	Ay=0.10 g 	Az=0.02 g
Gx=2.03 °/s 	Gy=0.02 °/s 	Gz=0.08 °/s 	Ax=1.01 g 	Ay=0.10 g 	Az=0.03 g
Gx=2.02 °/s 	Gy=0.09 °/s 	Gz=0.10 °/s 	Ax=1.01 g 	Ay=0.10 g 	Az=0.03 g
Gx=1.99 °/s 	Gy=0.07 °/s 	Gz=0.11 °/s 	Ax=1.01 g 	Ay=0.11 g 	Az=0.05 g
Gx=2.00 °/s 	Gy=0.01 °/s 	Gz=0.15 °/s 	Ax=1.01 g 	Ay=0.11 g 	Az=0.02 g
Gx=2.02 °/s 	Gy=0.17 °/s 	Gz=0.15 °/s 	Ax=1.01 g 	Ay=0.12 g 	Az=0.04 g
Gx=2.03 °/s 	Gy=-0.02 °/s 	Gz=0.18 °/s 	Ax=0.98 g 	Ay=0.11 g 	Az=0.02 g
